KT757163.1	1035495	Amphisbetia distans	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Hydroidolina;Leptothecata;Sertulariidae;Amphisbetia;Amphisbetia distans
KT757150.1	1035496	Sertularia marginata	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Hydroidolina;Leptothecata;Syntheciidae;Synthecium;Synthecium marginatum
FJ176880.1	1036750	Gliomastix murorum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Bionectriaceae;Gliomastix;Gliomastix murorum
JF833333.1	1036809	N/A	cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Kallymeniaceae;Metacallophyllis;Metacallophyllis laciniata
JF317380.1	1037060	Celtis tetrandra	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Cannabaceae;Celtis;Celtis tetrandra
JF317382.1	1037061	Debregeasia saeneb	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Urticaceae;Debregeasia;Debregeasia saeneb
JF317393.1	1037062	Rhamnus utilis	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rhamnaceae;rhamnoid group;Rhamneae;Rhamnus;Rhamnus utilis
JF317394.1	1037063	Sanguisorba sitchensis	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Rosoideae;Sanguisorbeae;Sanguisorbinae;Sanguisorba;Sanguisorba sitchensis
JF833328.1	1037066	Salishia sanguinea	cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Kallymeniaceae;Salishia;Salishia sanguinea
JX296137.1	1037067	Constantinea simplex	cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Constantinea;Constantinea simplex
DQ790066.1	1037239	Terebellides stroemii	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Canalipalpata;Terebellida;Terebelliformia;Trichobranchidae;Terebellides;Terebellides stroemii
KT901238.1	103879	Sarcocystis sinensis	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Sarcocystis;Sarcocystis sinensis
JF935012.1	1038876	Huitaca depressa	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Cyphophthalmi;Ogoveoidea;Neogoveidae;Huitaca;Huitaca depressa
JF935007.1	1038896	Neogovea virginie	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Cyphophthalmi;Ogoveoidea;Neogoveidae;Neogovea;Neogovea virginie
DQ825603.1	1038899	Parogovia sironoides	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Cyphophthalmi;Ogoveoidea;Neogoveidae;Parogovia;Parogovia sironoides
JF934997.1	1038906	Canga renatae	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Cyphophthalmi;Ogoveoidea;Neogoveidae;Canga;Canga renatae
MG209369.1	103983	Parvilucifera infectans	cellular organisms;Eukaryota;Sar;Alveolata;Perkinsozoa;Perkinsea;Perkinsida;Perkinsidae;Parvilucifera;Parvilucifera infectans
MF115839.1	1040649	Pappia fissilis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Meruliaceae;Pappia;Pappia fissilis
KX163083.1	1041012	Kudoa ogawai	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Myxozoa;Myxosporea;Multivalvulida;Kudoidae;Kudoa;Kudoa ogawai
KT334574.1	1041172	Tremella cetrariicola	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella cetrariicola
AB613238.1	1041365	Collozoum amoeboides	cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Collodaria;Sphaerozoidae;Collozoum;Collozoum amoeboides
DQ457656.1	104216	Chrysomphalina chrysophylla	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Hygrophorineae;Hygrophoraceae;Chrysomphalina;Chrysomphalina chrysophylla
DQ071739.2	104224	Hygrocybe conica	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Hygrophorineae;Hygrophoraceae;Hygrocybe;Hygrocybe conica
HQ877700.1	104245	Clavaria zollingeri	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Clavariineae;Clavariaceae;Clavaria;Clavaria zollingeri
DQ986791.1	104250	Candelaria concolor	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Candelariomycetes;Candelariales;Candelariaceae;Candelaria;Candelaria concolor
JF317396.1	1043716	Ulmus macrocarpa	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Ulmaceae;Ulmus;Ulmus macrocarpa
EU011608.1	104402	Ogataea ramenticola	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Pichiales;Pichiaceae;Ogataea;Ogataea ramenticola
